40	2400
41	2300
42	2200
43	2100
44	2000
45	1900
46	1800
47	1700
48	1600
49	1500
50	1400
51	1300
52	1200
53	1100
54	1000
55	900
56	800
57	700
58	600
59	500
60	400
61	300
62	200
63	100
64	0
45	2400
46	2300
47	2200
48	2100
49	2000
50	1900
51	1800
52	1700
53	1600
54	1500
55	1400
56	1300
57	1200
58	1100
59	1000
60	900
61	800
62	700
63	600
64	500
65	400
66	300
67	200
68	100
69	0
50	2400
51	2300
52	2200
53	2100
54	2000
55	1900
56	1800
57	1700
58	1600
59	1500
60	1400
61	1300
62	1200
63	1100
64	1000
65	900
66	800
67	700
68	600
69	500
70	400
71	300
72	200
73	100
74	0
55	2400
56	2300
57	2200
58	2100
59	2000
60	1900
61	1800
62	1700
63	1600
64	1500
65	1400
66	1300
67	1200
68	1100
69	1000
70	900
71	800
72	700
73	600
74	500
75	400
76	300
77	200
78	100
79	0
59	2400
60	2300
61	2200
62	2100
63	2000
64	1900
65	1800
66	1700
67	1600
68	1500
69	1400
70	1300
71	1200
72	1100
73	1000
74	900
75	800
76	700
77	600
78	500
79	400
80	300
81	200
82	100
83	0
64	2400
65	2300
66	2200
67	2100
68	2000
69	1900
70	1800
71	1700
72	1600
73	1500
74	1400
75	1300
76	1200
77	1100
78	1000
79	900
80	800
81	700
82	600
83	500
84	400
85	300
86	200
87	100
88	0
